epoch,train,train_acc,valid,valid_acc
1,2.3078395479895892,12.974999845027924,2.3132165741920474,13.019999861717224
2,2.2346096199479866,12.849999964237213,2.170463967323304,17.569999396800995
3,2.139815132768674,16.500000655651093,2.196489057540894,20.829999446868896
4,2.1462982214844515,19.77500021457672,2.12663536310196,18.34000051021576
5,2.12997813737061,19.224999845027924,2.0405461120605484,23.250000178813934
6,2.1137136335879303,19.77500021457672,2.014971113204956,24.879999458789825
7,2.0847167780432523,21.199999749660492,1.9660975801944733,25.510001182556152
8,2.1081102078360514,21.50000035762787,2.039647983312607,23.69000017642975
9,2.0710750263809286,22.075000405311584,1.9567795169353486,24.330000579357147
10,2.0449559397328265,22.40000069141388,1.9606480395793915,27.039998769760132
11,2.014471549787224,24.07499998807907,1.9398378539085388,26.96000039577484
12,2.013187515702946,23.774999380111694,1.9851376843452453,27.2599995136261
13,1.9909879728347635,24.975000321865082,1.9327339005470277,27.180001139640808
14,1.9975767287786597,25.725001096725464,1.9872081220149993,27.289998531341553
15,1.9474862243049418,26.69999897480011,1.8490866684913636,31.560000777244568
16,1.964906856338873,26.499998569488525,1.828081328868866,30.250000953674316
17,1.9441635899648606,28.975000977516174,1.8062002968788147,32.80999958515167
18,1.9102042136624968,28.475001454353333,1.9466093921661376,30.739998817443848
19,1.8841022458426442,28.749999403953552,2.026414878368376,30.37000000476837
20,1.8851820379391784,29.15000021457672,1.7089820098876953,36.93000078201294
21,1.8093903081692748,30.4500013589859,1.90568296790123,31.690001487731934
22,1.8291722244242103,32.42500126361847,1.6665297424793244,37.27000057697296
23,1.788085362808001,33.524999022483826,1.697783691883087,36.62999868392944
24,1.7627247948939324,34.65000092983246,1.8180872797966003,34.209999442100525
25,1.7687963473487394,36.34999990463257,1.6360327470302582,37.97999918460846
26,1.7561136758882356,36.55000030994415,1.8618031573295593,33.03999900817871
27,1.7274548443674416,36.87500059604645,2.0243331408500653,34.76000130176544
28,1.7135639328812071,37.424999475479126,1.7278955745697022,37.43000030517578
29,1.647189079265229,38.69999945163727,1.7804792404174805,40.84999859333038
30,1.6695723664160895,38.40000033378601,1.5843769633769988,44.8199987411499
31,1.7178620157789457,39.0500009059906,1.572341284751892,44.40999925136566
32,1.6565498527440718,40.625,1.477282923460007,47.24000096321106
33,1.6306611036620875,41.37499928474426,1.518507523536682,47.65999913215637
34,1.5576966571030244,42.82500147819519,1.621115380525589,41.33000075817108
35,1.611134074614794,42.44999885559082,1.6626383805274962,43.560001254081726
