epoch,train,valid
1,1.9948294502463417,1.8949544024467468
2,1.6800359037249935,1.5270820033550259
3,1.3566547623477228,1.5991409707069397
4,1.1295384854269832,1.1057355189323423
5,0.9319360285376851,1.2704380691051487
6,0.8055753941983574,0.9140011501312256
7,0.6890679226224088,0.6538167166709902
8,0.6097906692953713,0.6153248587250704
9,0.5613971062703168,0.5923349925875664
10,0.5279583883314334,0.6297039207816123
11,0.4885984843620312,0.6714353075623515
12,0.4704973619149842,0.5371596136689183
13,0.44746295579289325,0.5502674874663352
14,0.4232767921115863,0.4962061494588852
15,0.40657169139750915,0.5115845160186286
16,0.3926561516089801,0.47131076231598856
17,0.4003183911088051,0.43234220415353775
18,0.3694954378082316,0.5449656826257707
19,0.3521560130478872,0.43276591956615446
20,0.35966611181419866,0.4912325504422188
21,0.3461662475216779,0.41571211919188494
22,0.33412439632916846,0.47285777896642683
23,0.3228776129510169,0.4149183578789234
24,0.3204029654047878,0.4464644367992878
25,0.31571396789781225,0.4838114367425442
26,0.3060494499765119,0.4526135984063149
27,0.30980944229099866,0.6541788297891616
28,0.28939767171640957,0.4117263022065163
29,0.2883355260440334,0.36902406409382826
30,0.2916886237945459,0.3906094115972519
