epoch,train,valid
1,1.9365323769495257,1.934403842687607
2,1.681586784834992,1.6137409651279448
3,1.456879568855037,1.368425339460373
4,1.2135838746710108,1.2368520623445516
5,1.0449397636820292,1.0234088551998142
6,0.9069777156946434,0.8728487139940262
7,0.8057231529188948,0.7978748583793641
8,0.716586647706301,0.7478780764341354
9,0.6542647512362296,0.7114339593052865
10,0.6233481247214692,0.7921756762266159
11,0.5709576249663809,0.6324040326476098
12,0.5571964783609772,0.5715579929947853
13,0.5242677957019696,0.5687811714410781
14,0.4975986803702459,0.5605911883711816
15,0.48285708012424744,0.5454636183381081
16,0.4721211930071648,0.5716792938113217
17,0.47091174521211154,0.46562517672777176
18,0.44693198495995007,0.5373185515403747
19,0.4278306126840825,0.5349599042534832
20,0.42123169819382106,0.5566078469157221
21,0.4052259513811795,0.42792526230216027
22,0.38902699691834,0.5068027237057684
23,0.3859704664463826,0.5109006796777251
24,0.37647183895238323,0.5185623736679553
25,0.3776671415015717,0.4667409636080265
26,0.3546184436720604,0.4039124076068401
27,0.3667452228861439,0.4748891147971153
28,0.3432321203759203,0.4426627467572689
29,0.34843947027230815,0.4189674964547157
30,0.34660502004356464,0.41082042202353475
