epoch,train,valid
1,2.2994238192846703,2.3031999611854546
2,1.9437154011151863,1.8234983038902284
3,1.6044768070343818,1.5496470069885253
4,1.3567268631659113,1.3695272552967068
5,1.1386883524944014,1.218078355193138
6,0.997382085855308,0.9206996220350265
7,0.8729537927369636,0.821709213256836
8,0.7740742855664582,0.712327063679695
9,0.7222739791588484,0.6930837228894233
10,0.6760955828015747,0.5740483349561689
11,0.6375977022467136,0.5862986353039742
12,0.6104560627703443,0.5841712325811386
13,0.5800148971432749,0.5378621554374696
14,0.567217071755425,0.47547083169221876
15,0.5354638431766531,0.6319998422265052
16,0.5227249140357549,0.4970653641223908
17,0.515093515920672,0.4422658194601536
18,0.4870685269914858,0.4818046449124813
19,0.4831813707057,0.42578526109457016
20,0.47805975830843,0.48821143209934237
21,0.46132899355293117,0.658375098705292
22,0.4511088647698879,0.5399182364344597
23,0.44100072130540324,0.5267519180476667
24,0.4303086821202221,0.4384780979156494
25,0.42288978870345223,0.3749249345064162
26,0.4173390908469678,0.42175361424684527
27,0.42482764152723734,0.454134124815464
28,0.41055553230589026,0.375197823792696
29,0.39791846636888545,0.40985596597194673
30,0.4095014192805142,0.3731164671480656
