epoch,valid_acc,valid_loss
1,10.520000010728836,2.3033452820777898
2,27.900001406669617,1.8658223521709443
3,39.78999853134155,1.6342081212997437
4,48.910000920295715,1.5533174651861188
5,52.869999408721924,1.4175808236002923
6,61.77999973297119,1.1555828185379504
7,65.23000001907349,1.0163218177855013
8,68.65000128746033,0.899417936205864
9,67.76000261306763,0.9677469921112061
10,73.36000204086304,0.7918842715024949
11,72.00000286102295,0.8515116131305694
12,71.85999751091003,0.9184662872552871
13,73.90000224113464,0.7923085907101631
14,73.9300012588501,0.7666772338747978
15,71.48000001907349,0.8487781204283239
16,75.4800021648407,0.7524703541398046
17,77.920001745224,0.6593492917716504
18,75.1800000667572,0.7452872667461632
19,78.31000089645386,0.6508664836734536
20,77.81000137329102,0.6883536377549173
21,71.46000266075134,0.9371487311273813
22,74.55999851226807,0.8051673593372106
23,75.76000094413757,0.8279256185144186
24,75.8899986743927,0.7352838557958603
25,80.54999709129333,0.5915829582512376
26,77.319997549057,0.7007874578237536
27,78.29999923706055,0.6844566191732885
28,80.69000244140625,0.5926700235903264
29,77.95000076293945,0.6948909150063993
30,79.50000166893005,0.6363789856433871
31,81.08999729156494,0.5726791729032995
32,77.89000272750854,0.6934186930209401
33,79.76999878883362,0.6431311516463757
34,80.08999824523926,0.5986460490524769
35,79.1700005531311,0.6490584157407282
36,81.02999925613403,0.5904684153199192
37,80.5400013923645,0.6110521333664657
38,78.8100004196167,0.6747423167526722
39,80.93000054359436,0.5898716202378274
40,81.63999915122986,0.550718396306038
41,81.19999766349792,0.5687611465156077
42,81.12000226974487,0.5812822747975587
43,81.01000189781189,0.5929343295842409
44,79.07000184059143,0.6952330074459313
45,81.56999945640564,0.5577370748668904
46,80.0100028514862,0.6044067678600548
47,79.830002784729,0.6335020476579666
48,80.91999888420105,0.6317352331429719
49,80.16999959945679,0.6607007309794426
50,81.29000067710876,0.5722522678971292
51,81.18000030517578,0.6173396627604961
52,78.4600019454956,0.697858009384945
53,78.25999855995178,0.7164123184233901
54,82.20999836921692,0.5841262265294792
55,80.54999709129333,0.6178254523873331
56,81.01000189781189,0.6405913830175993
57,82.42999911308289,0.549917890578508
58,81.80999755859375,0.5876305897533892
59,79.79999780654907,0.6726756189018487
60,79.97000217437744,0.6510806814208624
61,81.4300000667572,0.5973852566257117
62,82.46999979019165,0.5523051770031455
63,81.08999729156494,0.5848893396556379
64,81.73999786376953,0.5683722722530363
65,80.40000200271606,0.6561660863459111
66,82.71999955177307,0.5485722712799909
67,81.23999834060669,0.5865017096698284
68,81.62999749183655,0.5769373609125615
69,80.15999794006348,0.6328762072324752
70,81.54000043869019,0.5756390206143258
71,82.56000280380249,0.559523235782981
72,80.80999851226807,0.6674965692311525
73,80.04000186920166,0.6628794471733273
74,80.08999824523926,0.6465078057721259
75,79.4700026512146,0.6702051907032728
76,78.51999998092651,0.8000782710313797
77,81.80000185966492,0.5931031007319689
78,83.09999704360962,0.5236068296432496
79,81.25,0.5819865998625755
80,81.87000155448914,0.5805835843086242
81,88.95999789237976,0.35683791518211366
82,89.12000060081482,0.3567229889705777
83,89.12000060081482,0.36829478055238724
84,88.78999948501587,0.38185717336833486
85,88.73000144958496,0.3888503004983068
86,89.03999924659729,0.37182921096682536
87,89.28999900817871,0.37227951023727646
88,89.20999765396118,0.37245075434446334
89,88.98000121116638,0.39307577535510063
90,89.55000042915344,0.3839430809952317
91,89.02999758720398,0.40235943645238875
92,89.28999900817871,0.38263517962768673
93,88.94000053405762,0.408550786934793
94,89.20000195503235,0.3905729917064308
95,89.45000171661377,0.38667876124382017
96,89.02000188827515,0.4183181791752577
97,89.12000060081482,0.4129223489761353
98,88.45000267028809,0.44373343423008926
99,88.62000107765198,0.41794940747320647
100,88.95999789237976,0.40444756936281917
101,88.83000016212463,0.4172593365609646
102,89.28999900817871,0.4036471555754542
103,89.34000134468079,0.38343108974397183
104,88.95999789237976,0.41716140240430827
105,88.84000182151794,0.41970667235553255
106,89.27000164985657,0.41331960193812844
107,88.96999955177307,0.42933562871068714
108,89.19000029563904,0.39985494922846554
109,88.73000144958496,0.42883597983047367
110,88.95000219345093,0.4070482961274684
111,89.10999894142151,0.4046769512444734
112,89.17999863624573,0.41703408751636745
113,89.12000060081482,0.40803960252553223
114,88.58000040054321,0.4422354916855693
115,88.66999745368958,0.45384871907532215
116,88.95000219345093,0.42996422002092005
117,88.83000016212463,0.4322261168807745
118,88.59000205993652,0.43666149478405714
119,88.8700008392334,0.4182971319183707
120,88.45999836921692,0.46370684932917355
121,89.0999972820282,0.43905140986666075
122,89.28999900817871,0.4271535449102521
123,90.21000266075134,0.39131771817803385
124,89.88999724388123,0.3993999333679676
125,89.64999914169312,0.4199758301675318
126,89.70000147819519,0.417252267152071
127,89.819997549057,0.4082376877963543
128,89.82999920845032,0.41184682622551916
129,89.77000117301941,0.4168736569583416
130,89.96999859809875,0.40463025368750094
131,89.71999883651733,0.4269879651814701
132,89.85999822616577,0.4181866239383816
133,89.53999876976013,0.4382915944978593
134,89.67999815940857,0.43134427482262255
135,89.74999785423279,0.4221403044834734
136,89.85000252723694,0.42142138071358204
137,89.98000025749207,0.4145384195074439
138,89.99999761581421,0.4088219980522991
139,89.80000019073486,0.4298577256128192
140,89.5799994468689,0.4365017775446176
141,89.82999920845032,0.425436731390655
142,89.63000178337097,0.43079489564523094
143,89.95000123977661,0.4178534158319235
144,89.92000222206116,0.4297065825201571
145,89.5900011062622,0.42860076908022166
146,89.5799994468689,0.43686616623774166
147,89.64999914169312,0.4277575021237135
