epoch,train,valid
1,3.5441885743479054,48397.51138671875
2,2.349825699295818,2.707363736629485
3,2.268562948487944,2.5752171897888174
4,2.2792193560228573,2.2873282504081724
5,2.3354123564759215,2.2552770400047293
6,2.2022382353328065,2.2186097359657277
7,2.167931620982789,2.198438446521758
8,2.188825840329669,2.1639262866973867
9,2.1252209615839392,2.176489663124085
10,2.123941425465712,2.13068263411522
11,2.1465888376626987,2.1866800642013557
12,2.128370763717713,2.0997290349006663
13,2.1379727693380586,2.101286054849625
14,2.0736115959530186,2.1080694341659547
15,2.100520514246515,2.033069633245466
16,2.0845222931001466,1.9476594722270966
17,1.979975766268182,2.0137567281723032
18,1.9758582773320743,1.9742243587970734
19,1.8145041879861272,1.966197317838669
20,1.8252915006712953,1.85536732673645
21,1.7988271774258657,1.871435216665268
22,1.8651660531645344,1.9165046620368957
23,1.8648223609664842,1.8718115079402924
24,1.7285266472695922,1.8229943466186525
25,1.8275000291145198,1.834153301715851
26,1.8890739218952766,1.8775520420074463
27,1.7664549086984322,1.9434834384918214
28,1.782853424488536,1.8533438289165496
29,1.7599529422789688,1.80529904961586
30,1.7338002198391316,1.8374216258525848
31,1.7690911611982703,1.838599399328232
32,1.8041775114575733,1.8809985768795014
33,1.74983440291552,1.9227488219738007
34,1.8264567909202245,1.839388689994812
35,1.6180347283377694,1.835718536376953
36,1.745669931824164,1.8619704616069794
37,1.741711151748918,1.7699382245540618
38,1.714412052651607,1.8887756431102753
39,1.6288675515792799,1.8481666338443756
40,1.7951118413899525,1.9621348786354065
41,1.6084469214346309,1.6873017156124115
42,1.6274487451615767,1.6700204861164094
43,1.591798042428087,1.7806100487709045
44,1.6373417157013757,1.655528359413147
45,1.5780746159622072,1.7018475115299225
46,1.6536901554222545,1.7088960301876068
47,1.563136399217091,1.6420731234550476
48,1.4939390112961046,1.625916702747345
49,1.597015065301911,1.617764607667923
50,1.5317299082701625,1.7222226870059967
51,1.5827958211606288,1.7272144758701324
52,1.5165576742622495,1.7424581587314605
53,1.4789033184425258,1.59239773273468
54,1.4863267993889218,1.668987627029419
55,1.5174929515262234,1.6369632542133332
56,1.5615958704564417,1.7285133171081544
57,1.4676795199220423,1.6353016901016235
58,1.373825888016477,1.6542336559295654
59,1.40473643660088,1.6388516139984133
60,1.3013004536211865,1.7387308812141418
61,1.3857083899022256,1.7618344664573669
62,1.4114858697756796,1.7823888278007507
63,1.4412273824578719,1.6756621623039245
64,1.2708401320211717,1.7128947138786317
65,1.28580203900309,1.5473438811302185
66,1.2237248109611527,1.564458820819855
67,1.2966385599424823,1.721655478477478
68,1.3949853695552525,1.6057483768463134
69,1.2814923402568548,1.5325444960594172
70,1.2418236874447595,1.8029088771343231
71,1.324296575934724,1.6142264139652251
72,1.1793660729341757,1.6980317533016205
73,1.1988809785292485,1.6022866427898408
74,1.1797454583963283,1.8476714062690736
75,1.2109237141914586,1.691974641084671
76,1.1152688167875031,1.5529847812652589
77,1.1679155100570033,1.6809955275058743
78,1.0463239098131105,1.6699049472808838
79,1.0326440191574828,1.8118500399589539
80,1.2062493310783213,1.71847895860672
81,0.9784893627552664,1.5317674005031585
82,0.97049267309355,1.5793786871433255
83,0.9236365446360817,1.5691791892051699
84,0.8007344131953951,1.5642236173152924
85,0.8068933155032613,1.5746396493911743
86,0.7765848960555962,1.5898114001750947
87,0.8440436334319807,1.6424059009552001
88,0.895541613477615,1.6191994988918303
89,0.6661387823366121,1.6732838892936706
90,0.7567382020168916,1.6449087488651275
91,0.8032222394847746,1.6434099924564363
92,0.7527852208249307,1.6730458188056945
93,0.7193394288507609,1.7205562317371368
94,0.7503120163552777,1.7473478353023528
95,0.8785263265906623,1.7233444106578828
96,0.6458696799912095,1.707422491312027
97,0.7610801868719559,1.766802372932434
98,0.8103250046831127,1.721671667098999
99,0.7278473112312813,1.741641539335251
100,0.6391403160026256,1.7816229200363158
101,0.7154327330049588,1.7682951724529266
102,0.6499384571339686,1.8008176231384276
103,0.7347706405427554,1.8281052136421203
104,0.6656504581787343,1.7936334216594696
105,0.6778985720954526,1.7865268731117248
106,0.6386666541253692,1.8794450914859773
107,0.6493152780314793,1.8517143642902374
108,0.7565909784223865,1.8021592223644256
109,0.6658532867735067,1.8541783499717712
110,0.6263973602584055,1.8522820580005646
111,0.6276530478436109,1.850848571062088
112,0.5569630184030385,1.9025652146339416
113,0.652075515571492,1.9462793636322022
114,0.6011131267132825,1.9375111782550811
115,0.5182646942956213,1.8797389554977417
116,0.5954221812481882,1.927393399477005
117,0.7071660047506401,1.8915007984638215
118,0.5963606834106646,1.9716726171970367
119,0.7383000339900696,1.9738631868362426
120,0.5452218731876551,2.0486630713939658
121,0.6193810076579799,1.9916128110885614
122,0.4795404386021665,1.915624350309372
123,0.516712104930209,1.930125402212143
124,0.5677398304988398,1.9227832424640656
125,0.4001398572261681,1.9032452273368836
126,0.6018481901447441,1.9162855756282806
127,0.49886141843478166,1.92422825217247
128,0.46845697598345193,1.9489110326766967
129,0.6630409509330383,1.9260790812969208
130,0.448874244842046,1.9444889163970946
131,0.44460007237545335,1.9529554522037507
132,0.44549988507421034,1.9418501079082489
133,0.5397017281084042,1.9335901212692261
134,0.44772474169704973,1.9430616438388824
135,0.578649011672583,1.9446842789649963
136,0.6210535153243326,1.961940084695816
137,0.5193139858848269,1.9834555578231814
138,0.37001201390668664,1.9745701622962952
139,0.5755398094985916,1.9804454886913299
140,0.34338683161453176,1.98197692990303
141,0.5503262717316773,1.985367120504379
142,0.39162557724868435,1.9866229391098023
143,0.4355994252118909,1.9865681731700895
144,0.5336185607150618,1.996338484287263
