epoch,train,valid
1,3.4186482896667063,592.1503164672853
2,2.2956320338042837,2.337919929027557
3,2.2975853188698245,2.2949801087379447
4,2.2833015942906947,2.28965452194214
5,2.284288741941842,2.2935263824462897
6,2.268943643544729,2.27296702861786
7,2.248084203748552,2.2569191145896905
8,2.2413596462448506,2.213697776794433
9,2.1691253447461616,2.216878037452698
10,2.098479375973651,2.088611489534378
11,2.1213598193013894,2.0606770527362825
12,2.033268073583118,2.0473345232009894
13,2.0562815196817876,2.1169275307655333
14,2.1000119680475424,2.018310576677322
15,2.0728895405858676,2.1591738390922544
16,2.025983715184886,1.9868331348896027
17,1.9933228744410902,2.0328435933589937
18,1.98702688139256,2.114203022718431
19,1.9593981985398163,2.0041248667240152
20,1.9098447762738218,2.138477181196212
21,1.9185303733802435,2.0035567665100094
22,1.946832428956781,1.9936221373081207
23,1.908954041967171,1.948062014579773
24,1.823368475596038,2.0602709817886353
25,1.8932268011762874,1.9496821463108063
26,1.957257229409783,1.9153315544128418
27,1.8508551087774519,1.9136673378944398
28,1.845006504579739,1.8908333826065062
29,1.8394393846047163,2.0451586866378766
30,1.820377358889319,1.880357584953308
31,1.8406706764929672,1.8589938306808471
32,1.8595749876010976,1.9785852026939392
33,1.8214329754474883,2.3125535392761223
34,1.9502340105198326,1.9304235827922822
35,1.6333512480403678,2.005779485702514
36,1.8532586484194935,1.8122970354557038
37,1.7971624976394054,1.9204944109916686
38,1.7644476612299065,2.0471661353111266
39,1.688505139252974,1.9477420842647553
40,1.8093237356196692,2.2850361788272853
41,1.6709721340823147,1.7919003367424011
42,1.733633140769768,1.8706654846668243
43,1.6533188904312246,1.904573254585266
44,1.6960692879854178,1.8439948391914367
45,1.7520906128155649,1.799651367664337
46,1.755127604715252,1.9426873874664308
47,1.6550120473404173,1.7049329614639281
48,1.6107339433955363,1.7445760142803193
49,1.7273382916526692,2.0973679006099704
50,1.7064809907063474,1.73455362200737
51,1.5832781505422846,1.823542330265045
52,1.5316496285518728,1.9655119359493256
53,1.6263889302430559,1.6901180028915406
54,1.6067042662280395,1.8622009479999542
55,1.6371469655239477,1.7761327421665192
56,1.5566758154662403,1.7447970843315124
57,1.531307724612652,1.835486261844635
58,1.542494488002105,1.714551465511322
59,1.5722176105516865,1.9159145092964172
60,1.5046684821368383,1.7274338364601136
61,1.5683503661657086,1.7727295231819153
62,1.5631175995550208,1.7030664563179017
63,1.459426193756206,1.715820505619049
64,1.4193832445461774,1.829711936712265
65,1.528931806407917,1.6474732553958893
66,1.449342722806385,1.7207186138629913
67,1.3746003232901465,1.718363287448883
68,1.4733864228199296,1.6521683323383332
69,1.5095698937354323,1.6076707100868226
70,1.365546419872053,1.820951955318451
71,1.399441898241013,1.611406488418579
72,1.404629243007364,1.649006005525589
73,1.3629576281969193,1.5962763643264772
74,1.3613388427416409,2.018477870225906
75,1.400913453116615,1.8895883429050446
76,1.277474925553523,1.8720765781402589
77,1.40884038338062,1.6339660549163815
78,1.2281140439228388,1.6483485007286072
79,1.2554677933738245,1.6368369412422177
80,1.3716521347546398,1.8949568164348602
81,1.1822250974247344,1.4982181942462922
82,1.1551893946842606,1.5112119495868686
83,1.1060624240280308,1.5288479125499725
84,1.0531752870073716,1.5270794105529786
85,1.0935483697205848,1.5729206991195679
86,1.0946382702366622,1.5363602554798126
87,0.9705751327771012,1.588473038673401
88,1.0281510854561389,1.5356786739826203
89,0.9290348223853129,1.6120866382122039
90,0.9745721556989175,1.6044262754917145
91,1.0121968505423027,1.6330194842815402
92,1.0658040658033738,1.5589017164707186
93,0.8881342125819779,1.6409594857692718
94,0.9932073734965938,1.5922760331630708
95,0.9244545669817231,1.6784898161888122
96,0.8772802069655956,1.5908224892616272
97,1.0180749817482484,1.6423629009723666
98,0.9572244401990733,1.5944573235511774
99,0.909911818086944,1.6335174214839931
100,1.0106770404544687,1.664225505590439
101,0.9969438816673738,1.6244290339946748
102,0.9343729193253683,1.6368333959579469
103,0.8391628623482082,1.6498230743408202
104,0.8442300879657746,1.5999932944774629
105,0.8275227178220704,1.712713632583618
106,0.8411013710203997,1.6782985842227935
107,0.8497648792441085,1.6317061972618103
108,0.9302144414811179,1.709716271162033
109,0.936476133029828,1.7586539351940156
110,0.9279317139240265,1.6358227729797363
111,0.8581405432115936,1.758126779794693
112,0.8241426774207209,1.7224508821964264
113,0.8905518218872464,1.695369076728821
114,0.7176615399263361,1.739379230737686
115,0.8387202719130843,1.7368338441848754
116,0.9442112780965907,1.7508114504814147
117,0.8364923269443062,1.6723073470592498
118,0.7886919106581182,1.7565316200256347
119,1.0273839428020668,1.7975728857517241
120,0.7732323936232688,1.6759160077571869
121,0.8617613410658564,1.8693606090545654
122,0.7133303974144006,1.720970299243927
123,0.7792116524152375,1.7307980608940126
124,0.8707491642230129,1.7503113698959352
125,0.7057308240349162,1.7232939660549165
126,0.8613309664499471,1.7338817095756531
127,0.7513939583361189,1.7367994964122773
128,0.8691347177770171,1.7189351725578308
129,0.8603032304462197,1.743875480890274
130,0.8325170323702902,1.7464857351779939
131,0.6449424527503111,1.7498895037174225
132,0.8000708853528097,1.739258097410202
133,0.7829737664357886,1.7402334380149842
134,0.828550672312557,1.7502174186706543
135,0.8050740258971898,1.7451070177555084
136,0.9063566715286614,1.778363084793091
137,0.7550662999525248,1.7358217668533324
138,0.7593869260459124,1.759602917432785
139,0.8013691609279144,1.7584648954868316
140,0.7953278533944175,1.7816047823429109
141,0.7141294916644957,1.7790950644016266
142,0.7268646675818393,1.7908674240112306
143,0.8094360485755111,1.7509465527534485
144,0.7890573243363885,1.7725386774539948
145,0.6712020377552317,1.798267982006073
146,0.6886242260415402,1.760191525220871
147,0.7815005335078853,1.7640105450153352
